"","x"
"679","Fign"
"680","Donson"
"681","Fignl1"
"682","Wtap"
"683","Trp53inp1"
"684","Cables1"
"685","Ralb"
"686","Sirt2"
"687","Suv39h2"
"688","Tsc1"
"689","Pes1"
"690","Rpl23"
"691","Tipin"
"692","Ska2"
"693","Anapc11"
"694","Bccip"
"695","Myo19"
"696","Cks2"
"697","Rgcc"
"698","Camk2n1"
"699","Haus2"
"700","Mplkip"
"701","Cenpw"
"702","Sac3d1"
"703","Cdc26"
"704","Spc25"
"705","Ska1"
"706","Cul7"
"707","Mis18a"
"708","Mad2l1bp"
"709","Snx9"
"710","Ntmt1"
"711","Mcm8"
"712","Ccnh"
"713","Rae1"
"714","Chmp3"
"715","Sbds"
"716","Actr2"
"717","Trim35"
"718","Chordc1"
"719","Dsn1"
"720","Cdk5rap1"
"721","Nuf2"
"722","Zfp830"
"723","Khdc3"
"724","Smarcd3"
"725","Rbm7"
"726","2610002M06Rik"
"727","Pmf1"
"728","Riok2"
"729","Ndc80"
"730","Chmp1b"
"731","Dynlt3"
"732","Mastl"
"733","Mis12"
"734","Fbxo5"
"735","Rnaseh2b"
"736","Arl8b"
"737","Cdt1"
"738","Nde1"
"739","Cinp"
"740","Pagr1a"
"741","Cltc"
"742","Stk35"
"743","Ilkap"
"744","Poc5"
"745","Ccar1"
"746","Anp32b"
"747","Spc24"
"748","Ctdp1"
"749","Itgb3bp"
"750","Poldip2"
"751","Cdca5"
"752","Ppp6c"
"753","Gipc1"
"754","Fam32a"
"755","Rps27l"
"756","Tubb6"
"757","Ccny"
"758","Nacc2"
"759","Zwilch"
"760","Ubxn2b"
"761","Pdcd2l"
"762","Cntd1"
"763","Ino80"
"764","Etaa1"
"765","Spire1"
"766","Rpl24"
"767","Rpa3"
"768","Babam1"
"769","Rpa1"
"770","Ncapd2"
"771","Steap3"
"772","Fbxl15"
"773","Nsmce2"
"774","Eml1"
"775","Syf2"
"776","Ube2c"
"777","Arl8a"
"778","Trim37"
"779","Anln"
"780","Cgrrf1"
"781","Chmp2b"
"782","Chmp2a"
"783","Ctc1"
"784","Mcts1"
"785","Anapc10"
"786","Anapc13"
"787","Mitd1"
"788","Cnppd1"
"789","Gtpbp4"
"790","Ing2"
"791","Gins1"
"792","Avpi1"
"793","Mapk1ip1"
"794","Bod1"
"795","Rhou"
"796","Dab2ip"
"797","Dctn2"
"798","Trip13"
"799","Nup37"
"800","Ttl"
"801","Fbxo7"
"802","Trim32"
"803","Nup43"
"804","Nabp2"
"805","Cdc16"
